,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
0,39.03,38.66,39.03,39.03,39.03,39.03,39.03,39.03,39.03,39.03,1
1,39.41,39.41,39.41,39.41,39.41,39.41,39.78,39.41,39.78,39.78,1
2,39.78,39.78,39.78,39.78,40.15,40.15,40.15,40.15,40.15,40.15,1
3,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,40.52,1
4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,-1
5,3.35,3.35,3.35,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
6,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,-1
13,3.72,3.35,3.35,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
15,3.35,3.35,3.35,2.97,3.35,3.35,2.97,2.97,2.97,2.97,-1
16,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
17,2.97,2.97,2.97,2.97,2.6,2.6,2.6,2.6,2.6,2.6,-1
18,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-1
21,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.23,2.6,-1
22,2.6,2.23,2.23,2.23,2.23,2.6,2.6,2.23,2.6,2.23,-1
23,2.6,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
24,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
37,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,2.23,2.23,-1
38,2.23,2.23,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,-1
40,2.23,2.23,2.23,2.23,2.23,2.23,1.86,2.23,1.86,2.23,-1
41,2.23,1.86,1.86,1.86,1.86,1.86,2.23,1.86,1.86,2.23,-1
42,2.23,1.86,1.86,1.86,1.86,1.86,1.86,2.23,2.23,2.23,-1
43,2.23,2.23,1.86,2.23,2.23,2.23,2.23,2.23,2.23,1.86,-1
44,2.23,2.23,2.23,2.23,1.86,2.23,2.23,2.23,2.23,1.86,-1
45,1.86,1.86,2.23,1.86,2.23,2.23,2.23,2.23,2.23,2.23,-1
46,3.35,3.35,3.35,3.35,3.72,3.72,4.09,4.09,4.46,4.46,1
47,5.2,5.58,5.58,5.58,5.95,5.95,5.95,6.32,6.32,6.69,1
48,7.43,7.43,7.43,7.43,7.81,7.81,8.18,8.18,8.55,8.55,1
49,9.29,9.29,9.29,9.67,9.67,9.67,10.04,10.04,10.41,10.41,1
50,11.15,11.15,11.52,11.52,11.9,11.9,11.9,11.9,12.27,12.27,1
51,13.01,13.01,13.38,13.38,13.38,13.75,13.75,13.75,14.13,14.13,1
52,14.87,14.87,14.87,15.24,15.24,15.61,15.61,15.61,15.61,15.99,1
53,16.36,16.36,16.36,16.36,16.73,16.73,16.73,16.73,17.1,17.1,1
54,17.47,17.47,17.47,17.47,17.84,17.84,17.84,17.84,18.22,18.22,1
55,18.59,18.59,18.59,18.59,18.96,18.96,18.96,18.96,19.33,19.33,1
56,19.7,19.7,20.07,20.07,20.07,20.07,20.07,20.45,20.45,20.45,1
57,20.82,20.82,20.82,20.82,21.19,21.19,21.19,21.19,21.19,21.19,1
58,21.56,21.56,21.56,21.56,21.93,21.93,21.93,21.93,21.93,21.93,1
59,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.68,22.68,22.68,1
60,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.42,23.42,1
61,23.42,23.42,23.42,23.79,23.79,23.79,23.79,23.79,23.79,24.16,1
62,24.16,24.16,24.16,24.16,24.54,24.54,24.54,24.54,24.54,24.54,1
63,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,25.28,25.28,1
64,25.65,25.28,25.28,25.65,25.65,25.65,25.65,25.65,25.65,26.02,1
65,26.02,26.02,26.02,26.02,26.39,26.39,26.39,26.39,26.77,26.39,1
66,26.77,26.77,26.77,27.14,27.14,27.14,27.14,27.14,27.51,27.51,1
67,27.88,27.88,27.88,27.88,28.25,27.88,28.25,28.25,28.25,28.25,1
68,28.62,28.62,28.62,28.62,29.0,29.0,29.0,29.0,29.0,29.37,1
69,29.74,29.74,29.74,29.74,29.74,29.74,29.74,30.11,30.11,30.11,1
70,30.48,30.48,30.48,30.48,30.86,30.86,30.86,30.86,30.86,30.86,1
71,31.23,31.23,31.23,31.23,31.6,31.6,31.6,31.6,31.6,31.97,1
72,31.97,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.71,32.71,1
73,33.09,33.09,33.09,33.09,33.09,33.46,33.46,33.46,33.46,33.46,1
74,33.83,34.2,34.2,34.2,34.2,34.57,34.57,34.57,34.57,34.57,1
75,35.32,35.32,35.32,35.32,35.32,35.32,35.69,35.69,35.69,35.69,1
76,36.06,36.06,36.06,36.43,36.43,36.43,36.43,36.43,36.8,36.8,1
77,36.8,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.55,37.55,1
78,37.92,37.92,37.92,37.92,37.92,37.92,37.92,37.92,38.29,38.29,1
79,38.66,38.66,38.66,38.66,38.66,38.66,39.03,38.66,39.03,39.03,1
80,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.78,39.78,1
81,40.15,40.15,40.15,40.15,40.15,40.52,40.15,40.52,40.52,40.52,1
82,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,1
83,41.26,41.26,41.26,41.26,41.64,41.64,41.64,41.64,41.64,41.64,1
84,42.01,42.01,42.01,42.01,42.01,42.01,42.01,42.01,42.38,42.38,1
85,42.38,42.38,42.38,42.38,42.38,42.75,42.75,42.75,42.75,42.75,1
86,43.12,43.12,43.12,43.12,43.12,43.12,43.12,43.12,43.12,43.12,1
87,43.49,43.49,43.49,43.49,43.49,43.49,43.49,43.49,43.87,43.87,1
88,43.87,43.87,43.87,43.87,43.87,44.24,44.24,44.24,44.24,44.24,1
90,3.35,3.35,3.72,3.35,3.72,3.72,3.35,3.72,3.72,3.72,-1
91,3.72,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,-1
97,3.35,3.35,3.35,3.35,3.35,2.97,3.35,3.35,2.97,3.35,-1
98,2.97,3.35,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
101,2.97,2.97,2.97,2.97,2.97,2.6,2.97,2.97,2.97,2.97,-1
102,2.97,2.6,2.97,2.97,2.6,2.97,2.97,2.6,2.97,2.97,-1
103,2.6,2.6,2.6,2.6,2.6,2.6,2.97,2.6,2.6,2.6,-1
104,2.6,2.6,2.6,2.6,2.97,2.6,2.6,2.6,2.6,2.6,-1
113,2.6,2.23,2.23,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-1
114,2.6,2.23,2.6,2.23,2.23,2.23,2.23,2.23,2.6,2.23,-1
115,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.6,2.23,2.23,-1
118,2.23,2.23,2.23,2.23,2.23,2.6,2.23,2.23,2.23,2.23,-1
137,2.97,2.97,2.97,2.97,3.35,3.35,3.35,3.35,3.72,3.72,1
138,4.46,4.83,4.83,4.83,5.2,5.2,5.2,5.2,5.58,5.58,1
139,6.32,6.69,6.69,6.69,7.06,7.06,7.06,7.06,7.43,7.43,1
140,8.18,8.18,8.18,8.18,8.18,8.55,8.55,8.55,8.55,8.92,1
141,9.67,9.67,9.67,9.67,9.67,10.04,10.04,10.04,10.04,10.41,1
142,10.78,10.78,10.78,11.15,11.15,11.15,11.15,11.15,11.52,11.52,1
143,12.27,12.27,12.27,12.27,12.64,12.64,12.64,12.64,12.64,13.01,1
144,13.38,13.38,13.38,13.75,13.75,14.13,14.13,14.13,14.13,14.13,1
145,14.5,14.87,14.87,14.87,15.24,15.24,15.24,15.24,15.61,15.24,1
146,15.99,15.99,15.99,15.99,16.36,16.36,16.36,16.36,16.36,16.73,1
147,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.47,1
148,18.59,18.59,18.59,18.59,18.59,18.59,18.96,18.96,18.96,18.96,1
149,19.33,19.33,19.33,19.33,19.7,19.7,19.33,19.7,19.7,19.7,1
150,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.45,1
151,20.82,20.82,20.82,20.82,21.19,21.19,20.82,21.19,21.19,21.19,1
152,21.56,21.56,21.56,21.56,21.56,21.56,21.56,21.56,21.93,21.93,1
154,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.42,23.42,23.42,1
155,24.16,24.54,24.16,24.54,24.54,24.54,24.54,24.54,24.91,24.91,1
156,25.28,25.28,25.28,25.28,25.65,25.28,25.65,25.65,25.65,25.65,1
157,26.39,26.02,26.39,26.39,26.39,26.39,26.39,26.77,26.77,26.77,1
158,27.14,27.14,27.51,27.51,27.88,27.51,27.88,27.88,27.88,27.88,1
159,28.62,28.62,28.25,28.62,28.62,28.62,28.62,29.0,29.0,29.0,1
160,29.37,29.37,29.37,29.37,29.74,29.74,29.74,29.74,30.11,30.11,1
162,31.6,31.6,31.6,31.6,31.6,31.97,31.97,31.97,31.97,31.97,1
163,32.34,32.34,32.34,32.34,32.71,32.71,32.71,32.71,32.71,32.71,1
164,33.09,33.09,33.09,33.46,33.46,33.46,33.46,33.46,33.46,33.46,1
165,33.83,33.83,33.83,34.2,34.2,34.2,34.2,34.2,34.2,34.57,1
166,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,1
167,35.32,35.32,35.32,35.32,35.69,35.69,35.69,35.69,35.69,35.69,1
168,36.06,36.06,36.06,36.06,36.43,36.43,36.43,36.43,36.43,36.43,1
169,36.43,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,1
170,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.55,37.55,1
171,37.55,37.55,37.55,37.55,37.92,37.92,37.92,37.92,37.92,37.92,1
172,37.92,37.92,37.92,37.92,38.29,38.29,38.29,38.29,38.29,38.29,1
173,38.29,38.66,38.29,38.29,38.66,38.66,38.66,38.66,38.66,38.66,1
174,39.03,39.03,38.66,39.03,39.03,39.03,39.03,39.03,39.41,39.41,1
176,39.78,39.78,39.78,40.15,39.78,40.15,40.15,40.15,40.15,40.15,1
178,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,41.26,1
180,41.64,41.64,41.64,41.64,27.14,23.05,20.45,16.36,11.9,7.06,-1
181,4.09,4.09,4.09,4.09,3.72,3.72,3.72,3.72,3.72,3.72,-1
183,3.72,3.72,3.72,3.72,4.09,3.72,3.72,3.72,3.72,3.72,-1
184,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,-1
187,4.46,4.09,4.46,4.09,4.09,4.09,4.46,4.09,4.09,4.09,-1
190,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,4.09,3.72,-1
192,3.72,3.72,3.72,3.72,3.35,3.35,3.35,3.35,3.35,3.35,-1
194,3.35,3.35,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
196,2.97,2.97,2.6,2.97,2.6,2.6,2.6,2.6,2.6,2.6,-1
202,2.6,2.6,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,-1
229,2.97,2.97,3.35,3.35,3.35,3.72,3.72,3.72,3.72,3.72,1
230,4.46,4.83,4.83,4.83,5.2,5.58,5.58,5.58,5.58,5.95,1
231,7.06,7.06,7.06,7.06,7.81,7.81,7.81,7.81,7.81,8.18,1
232,8.92,9.29,9.29,9.29,9.29,9.67,9.67,9.67,10.04,10.04,1
233,10.78,10.78,10.78,11.15,11.15,11.52,11.52,11.52,11.52,11.52,1
234,12.27,12.27,12.64,12.64,13.01,13.01,13.01,13.01,13.38,13.38,1
235,14.13,14.13,14.13,14.13,14.5,14.87,14.87,14.87,15.24,15.24,1
236,15.99,15.99,15.99,15.99,16.36,16.36,16.36,16.73,16.73,17.1,1
238,18.59,18.96,18.96,18.96,18.96,19.33,19.33,19.33,19.7,19.33,1
239,20.07,20.07,20.07,20.07,20.07,20.45,20.45,20.45,20.45,20.45,1
240,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.56,21.56,21.56,1
241,21.93,21.93,21.93,21.93,22.3,22.3,22.3,22.3,22.3,22.3,1
242,22.68,22.68,22.68,22.68,23.05,23.05,23.05,23.05,23.05,23.05,1
243,23.42,23.42,23.42,23.42,23.79,23.79,23.79,23.79,23.79,23.79,1
244,24.16,24.16,24.16,24.16,24.16,24.54,24.54,24.54,24.54,24.54,1
245,24.54,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91,25.28,1
246,25.28,25.28,25.28,25.65,25.65,25.65,25.65,25.65,25.65,25.65,1
247,26.02,26.02,26.02,26.02,26.02,26.02,26.02,26.39,26.02,26.39,1
248,26.39,26.39,26.39,26.39,26.77,26.77,26.77,26.77,26.77,26.77,1
249,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.14,27.51,1
250,27.51,27.51,27.51,27.51,27.51,27.51,27.51,27.88,27.88,27.88,1
251,27.88,27.88,27.88,28.25,28.25,28.25,28.25,28.25,28.25,28.25,1
252,28.62,28.62,28.62,28.62,28.62,28.62,29.0,29.0,29.0,29.0,1
253,29.0,29.0,29.0,29.0,29.37,29.37,29.37,29.37,29.37,29.37,1
254,29.74,29.74,29.74,29.74,30.11,30.11,30.11,30.11,30.11,30.11,1
255,30.48,30.48,30.48,30.48,30.48,30.48,30.48,30.48,30.48,30.48,1
256,30.86,30.86,30.86,30.86,30.86,31.23,31.23,31.23,31.23,31.23,1
257,31.6,31.6,31.6,31.6,31.97,31.6,31.6,31.97,31.6,31.97,1
258,31.97,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,32.34,1
259,32.71,32.71,32.71,32.71,32.71,33.09,33.09,33.09,33.09,33.09,1
260,33.46,33.46,33.46,33.46,33.46,33.46,33.46,33.83,33.83,33.83,1
261,33.83,33.83,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.57,1
262,34.57,34.57,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,1
264,36.06,36.06,36.06,36.06,36.06,36.43,36.43,36.43,36.43,36.43,1
265,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,37.17,37.17,1
266,37.17,37.17,37.55,37.55,37.55,37.55,37.55,37.55,37.55,37.55,1
267,37.92,37.92,37.92,37.92,37.92,37.92,38.29,38.29,38.29,38.29,1
269,39.03,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,1
272,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,41.26,41.26,1
273,41.26,41.26,41.26,41.26,41.26,41.26,41.26,41.26,41.64,41.64,1
274,41.64,41.64,41.64,42.01,42.01,41.64,42.01,42.01,42.01,42.01,1
276,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.35,3.72,3.35,-1
277,3.72,3.72,3.72,3.72,3.72,3.35,3.72,3.72,3.72,3.72,-1
281,3.72,3.72,3.72,3.72,3.72,3.72,3.35,3.72,3.72,3.72,-1
284,3.35,3.35,3.35,2.97,3.35,2.97,3.35,2.97,3.35,2.97,-1
285,3.35,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
288,22.14,22.14,22.14,22.51,22.14,22.51,22.51,22.51,22.51,22.51,1
289,22.88,22.88,22.51,22.88,22.88,22.88,22.88,22.88,22.88,22.88,1
290,23.25,23.25,23.25,23.25,23.62,23.62,23.62,23.62,23.62,23.62,1
291,23.99,23.99,23.99,23.99,23.99,23.99,24.35,24.35,24.35,24.35,1
292,24.72,24.72,24.72,24.72,25.09,25.09,25.09,25.09,25.09,25.46,1
293,25.83,25.83,25.83,25.83,26.2,26.2,26.2,26.2,26.2,26.57,1
294,26.94,26.94,26.94,26.94,27.31,27.31,27.31,27.31,27.68,27.68,1
295,28.04,28.04,28.04,28.04,28.41,28.41,28.41,28.41,28.78,28.78,1
296,29.52,29.52,29.52,29.52,29.52,29.52,29.52,29.52,29.89,29.89,1
297,30.26,30.26,30.26,30.63,30.63,30.63,30.63,30.63,31.0,31.0,1
298,31.37,31.37,31.37,31.37,31.73,31.73,31.73,31.73,31.73,31.73,1
299,32.1,32.1,32.47,32.47,32.47,32.47,32.47,32.84,32.84,32.84,1
300,33.21,33.21,33.21,33.21,33.58,33.58,33.58,33.58,33.58,33.58,1
301,33.95,33.95,33.95,33.95,34.32,34.32,34.32,34.32,34.69,34.69,1
302,35.06,35.06,35.06,35.06,35.06,35.06,35.06,35.42,35.42,35.42,1
303,35.79,35.79,35.79,35.79,35.79,35.79,35.79,36.16,36.16,36.16,1
304,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.9,36.9,1
305,37.27,37.27,37.27,37.27,37.27,37.64,37.64,37.64,38.01,38.01,1
306,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.75,38.75,1
307,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.11,39.48,39.48,1
308,39.48,39.48,39.48,39.85,39.85,39.85,39.85,39.85,39.85,39.85,1
309,40.22,40.22,40.22,40.22,40.59,40.59,40.59,40.59,40.59,40.59,1
310,40.96,40.96,40.96,40.96,40.96,40.96,40.96,41.33,41.33,41.33,1
311,41.33,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,42.07,1
312,42.07,42.07,42.07,42.07,42.44,42.44,42.44,42.44,42.44,42.44,1
313,42.44,42.44,42.44,42.44,42.44,42.8,42.44,42.8,42.8,42.8,1
314,42.8,42.8,42.8,43.17,42.8,43.17,43.17,43.17,43.17,43.17,1
315,43.17,43.54,43.17,43.54,43.54,43.54,43.54,43.54,43.54,43.54,1
316,43.91,43.91,43.91,43.91,43.91,43.91,43.91,44.28,44.28,44.28,1
317,4.43,4.43,4.06,4.06,4.06,4.06,4.06,3.69,3.69,3.69,-1
318,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,-1
320,3.32,3.32,3.32,3.32,3.32,3.32,2.95,2.95,3.32,3.32,-1
321,3.32,3.32,3.32,3.69,3.69,3.32,3.69,3.69,3.69,3.69,-1
322,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,-1
323,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.8,4.8,4.8,-1
324,4.8,4.8,4.8,4.8,5.17,5.17,5.17,5.17,5.17,5.17,-1
325,5.17,5.17,5.17,5.17,4.8,4.8,4.8,4.8,4.8,4.8,-1
326,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.06,-1
329,3.69,3.69,3.69,3.69,4.06,3.69,3.69,3.69,3.69,3.69,-1
330,3.69,4.06,3.69,3.69,4.06,3.69,4.06,3.69,3.69,3.69,-1
331,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,-1
333,3.69,3.69,3.69,3.69,3.69,3.69,3.32,3.32,3.69,3.69,-1
334,3.69,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,-1
338,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,-1
342,2.95,2.95,2.95,2.95,2.95,2.58,2.95,2.58,2.95,2.58,-1
343,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,-1
361,2.58,2.58,2.58,2.58,2.95,2.95,2.95,2.95,2.95,2.95,1
362,3.69,3.69,3.69,3.69,4.06,4.06,4.06,4.06,4.43,4.43,1
363,5.54,5.54,5.54,5.54,5.9,5.9,6.27,6.27,6.27,7.01,1
364,8.49,8.86,9.23,9.23,9.59,9.96,9.96,9.96,10.33,10.33,1
365,10.7,11.07,11.07,11.07,11.44,11.44,11.44,11.44,11.44,11.81,1
366,12.18,12.18,12.18,12.18,12.18,12.55,12.55,12.55,12.55,12.92,1
367,13.28,13.28,13.28,13.28,13.28,13.65,13.65,13.65,13.65,13.65,1
368,14.02,14.02,14.02,14.02,14.39,14.39,14.39,14.39,14.39,14.76,1
369,14.76,15.13,14.76,15.13,15.13,15.13,15.13,15.13,15.13,15.13,1
370,15.5,15.5,15.87,15.87,15.87,15.87,16.24,16.24,16.24,16.24,1
371,16.61,16.61,16.61,16.97,16.97,16.97,16.97,16.97,16.97,16.97,1
372,17.34,17.34,17.34,17.71,17.34,17.71,17.71,17.71,17.71,17.71,1
373,18.08,18.08,18.08,18.08,18.08,18.45,18.45,18.08,18.45,18.45,1
374,18.45,18.82,18.82,18.82,18.82,18.82,18.82,18.82,18.82,18.82,1
375,19.19,19.19,19.19,19.19,19.19,19.56,19.56,19.56,19.56,19.56,1
376,19.93,19.56,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,1
377,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.66,20.66,1
378,20.66,20.66,20.66,20.66,20.66,20.66,21.03,20.66,21.03,20.66,1
379,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.4,1
380,21.4,21.4,21.4,21.4,21.4,21.4,21.77,21.77,21.77,21.77,1
381,21.77,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,1
382,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.88,1
383,22.88,22.88,22.88,23.25,23.25,23.25,23.25,23.25,23.25,23.62,1
384,23.99,23.62,23.99,23.99,23.99,23.99,23.99,23.99,24.35,24.35,1
385,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.72,25.09,25.09,1
386,25.46,25.46,25.83,25.83,25.83,25.83,26.2,26.2,26.2,26.2,1
387,26.57,26.57,26.57,26.94,26.94,26.94,26.94,27.31,27.31,27.31,1
388,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.41,28.41,28.41,1
389,28.78,28.78,28.78,28.78,29.15,29.15,29.15,29.15,29.15,29.52,1
390,29.89,29.89,29.89,29.89,30.26,30.26,30.26,30.26,30.26,30.26,1
391,30.63,30.63,31.0,31.0,31.0,31.0,31.0,31.0,31.37,31.37,1
392,31.73,31.73,31.73,31.73,31.73,32.1,31.73,32.1,32.1,32.1,1
393,32.47,32.47,32.47,32.47,32.84,32.84,32.84,32.84,32.84,32.84,1
395,33.95,33.95,33.95,34.32,34.32,34.32,34.32,34.69,34.32,34.69,1
396,35.06,35.06,35.06,35.06,35.42,35.42,35.42,35.42,35.42,35.42,1
397,35.79,35.79,35.79,35.79,36.16,36.16,36.16,36.16,36.16,36.16,1
398,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,1
399,36.9,36.9,36.9,36.9,37.27,37.27,37.27,37.27,37.27,37.27,1
400,37.64,37.64,37.64,37.64,37.64,37.64,37.64,37.64,38.01,38.01,1
401,38.75,38.75,38.75,38.75,38.75,38.75,38.75,39.11,39.11,39.11,1
402,39.48,39.48,39.48,39.48,39.48,39.48,39.48,39.48,39.85,39.85,1
403,39.85,39.85,39.85,39.85,39.85,39.85,39.85,40.22,39.85,40.22,1
404,40.22,40.22,40.22,40.22,40.22,40.59,40.59,40.59,40.59,40.59,1
405,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,1
406,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,1
407,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,42.07,42.07,1
408,42.07,42.07,42.07,42.44,42.44,42.44,42.44,42.44,42.44,42.44,1
409,4.06,3.69,3.69,3.69,3.69,3.32,3.69,3.32,3.32,3.32,-1
411,3.32,3.32,3.32,2.95,3.32,2.95,2.95,2.95,2.95,3.32,-1
413,3.32,3.32,3.32,3.32,3.32,3.32,3.32,2.95,3.32,3.32,-1
421,3.32,3.32,3.32,3.32,3.69,3.69,3.69,3.69,3.32,3.69,-1
