,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
425,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.06,4.43,4.06,-1
426,4.43,4.06,4.06,4.06,4.43,4.06,4.06,4.06,4.43,4.06,-1
427,4.43,4.43,4.43,4.43,4.43,4.43,4.06,4.43,4.43,4.06,-1
428,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.06,4.43,4.06,-1
430,4.06,4.06,4.06,4.06,4.06,4.06,3.69,3.69,3.69,3.69,-1
432,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.32,3.69,3.32,-1
435,3.32,3.32,3.32,3.32,3.32,3.32,2.95,3.32,3.32,3.32,-1
436,3.32,2.95,3.32,3.32,3.32,2.95,3.32,3.32,3.32,2.95,-1
437,3.32,2.95,3.32,2.95,2.95,2.95,2.95,2.95,3.32,2.95,-1
440,3.32,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,-1
449,2.95,2.95,2.95,2.95,2.95,2.58,2.95,2.95,2.95,2.58,-1
450,2.95,2.95,2.58,2.58,2.95,2.95,2.58,2.95,2.95,2.58,-1
451,2.58,2.58,2.58,2.58,2.95,2.58,2.58,2.58,2.95,2.58,-1
453,2.95,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,-1
454,2.58,2.58,2.58,2.58,2.95,2.58,2.58,2.58,2.58,2.58,-1
455,3.69,3.69,3.69,3.69,4.06,4.43,4.43,4.8,5.9,5.9,1
456,7.01,7.01,7.38,7.38,8.12,8.12,8.12,8.12,8.49,8.49,1
457,9.23,9.23,9.23,9.23,9.59,9.96,9.96,9.96,10.33,10.33,1
458,11.07,10.7,10.7,11.07,11.07,11.07,11.44,11.44,11.81,11.81,1
459,12.55,12.55,12.55,12.55,12.92,12.92,12.92,13.28,13.28,13.28,1
460,14.02,14.02,14.02,14.02,14.39,14.39,14.39,14.39,14.76,14.76,1
461,15.13,15.13,15.13,15.13,15.5,15.5,15.5,15.5,15.87,15.87,1
462,16.24,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.97,16.97,1
463,17.34,17.34,17.34,17.34,17.71,17.71,17.71,17.71,17.71,17.71,1
464,18.08,18.08,18.08,18.08,18.45,18.45,18.45,18.45,18.45,18.45,1
465,18.82,18.82,18.82,18.82,18.82,18.82,18.82,18.82,19.19,19.19,1
466,19.19,19.19,19.19,19.19,19.56,19.56,19.56,19.56,19.56,19.56,1
467,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,20.3,20.3,1
468,20.66,20.3,20.3,20.3,20.66,20.66,20.66,20.66,20.66,20.66,1
469,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,1
470,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.77,21.77,21.77,1
471,22.14,21.77,21.77,21.77,22.14,22.14,22.14,22.14,22.14,22.14,1
472,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.88,22.88,1
473,22.88,22.88,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.62,1
474,24.35,24.35,24.35,24.35,24.72,24.72,24.72,24.72,25.09,25.09,1
477,28.04,28.04,28.04,28.04,28.41,28.41,28.41,28.41,28.41,28.78,1
478,29.15,29.15,29.15,29.15,29.52,29.52,29.52,29.52,29.52,29.52,1
479,29.89,29.89,30.26,30.26,30.63,30.63,30.63,30.63,30.63,31.0,1
480,31.0,31.37,31.37,31.37,31.37,31.37,31.37,31.37,31.73,31.73,1
481,32.1,32.1,32.1,32.1,32.1,32.1,32.47,32.47,32.47,32.47,1
482,32.84,32.84,32.84,32.84,32.84,32.84,32.84,33.21,33.21,33.21,1
483,33.58,33.58,33.58,33.58,33.58,33.95,33.95,33.95,33.95,33.95,1
484,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.69,1
485,34.69,34.69,34.69,34.69,35.06,35.06,35.06,35.06,35.06,35.06,1
486,35.42,35.42,35.42,35.42,35.42,35.42,35.42,35.42,35.42,35.79,1
487,35.79,35.79,35.79,35.79,35.79,35.79,36.16,36.16,36.16,36.16,1
488,36.53,36.16,36.53,36.53,36.53,36.53,36.53,36.53,36.53,36.53,1
489,36.9,36.9,36.9,36.9,36.9,36.9,37.27,36.9,37.27,37.27,1
490,37.27,37.27,37.27,37.27,37.27,37.64,37.64,37.64,37.64,37.64,1
491,38.01,38.01,38.01,38.01,38.01,38.01,38.01,38.01,38.01,38.38,1
492,38.38,38.38,38.75,38.38,38.75,38.75,38.75,38.75,38.75,38.75,1
493,39.11,39.11,39.11,39.11,39.11,39.48,39.48,39.48,39.11,39.11,1
494,39.48,39.48,39.48,39.48,39.48,39.85,39.85,39.85,39.85,39.85,1
495,39.85,39.85,39.85,39.85,39.85,40.22,40.22,40.22,40.22,40.22,1
497,40.59,40.59,40.59,40.59,40.96,40.96,40.96,40.96,40.96,40.96,1
499,41.33,41.33,41.33,41.7,41.7,41.7,41.7,41.7,41.7,41.7,1
500,41.7,41.7,41.7,41.7,41.7,42.07,42.07,42.07,41.7,42.07,1
501,3.69,3.69,3.69,3.32,3.32,3.32,3.32,3.32,3.32,3.32,-1
506,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,-1
509,10.7,10.7,10.7,10.7,10.33,10.7,10.7,10.7,10.7,10.7,-1
510,10.7,10.7,10.7,10.7,10.33,10.7,10.7,10.7,10.7,10.33,-1
511,10.7,10.33,10.33,10.7,10.7,10.7,10.33,10.33,10.33,10.33,-1
512,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,-1
515,10.33,10.33,10.33,10.33,10.33,10.33,10.7,10.33,10.7,10.33,-1
516,10.7,10.7,10.7,10.33,10.7,10.7,10.7,10.33,10.7,10.7,-1
520,10.33,10.33,10.33,10.33,10.7,10.33,10.33,10.33,10.7,10.7,-1
521,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,9.96,9.96,-1
522,11.44,11.44,11.44,11.44,11.81,11.81,11.81,11.81,12.18,12.18,1
523,14.02,14.02,14.02,14.02,14.02,14.39,14.39,14.39,14.76,14.76,1
524,15.13,15.13,15.5,15.5,15.5,15.5,15.87,15.5,15.87,15.87,1
525,16.61,16.61,16.61,16.61,16.61,16.97,16.97,16.97,16.97,16.97,1
526,17.71,17.71,17.71,17.71,17.71,17.71,18.08,18.08,18.08,18.08,1
527,18.82,18.82,18.82,18.82,18.82,19.19,19.19,19.19,19.19,19.19,1
528,19.56,19.93,19.93,19.93,19.93,19.93,19.93,19.93,20.3,20.3,1
529,20.66,20.66,20.66,20.66,20.66,21.03,21.03,21.03,21.03,21.03,1
530,21.4,21.4,21.4,21.4,21.77,21.77,21.77,21.77,21.77,22.14,1
531,22.14,22.14,22.14,22.14,22.51,22.51,22.51,22.51,22.51,22.51,1
532,22.88,22.88,22.88,22.88,23.25,23.25,23.25,23.25,23.25,23.25,1
533,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.99,23.99,23.99,1
534,23.99,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,1
535,24.72,24.72,24.72,24.72,25.09,25.09,25.09,25.09,25.09,25.09,1
536,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,1
537,25.83,25.83,25.83,25.83,25.83,25.83,26.2,25.83,25.83,26.2,1
538,26.2,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,1
539,26.94,26.94,26.94,26.94,26.94,27.31,26.94,26.94,27.31,27.31,1
540,27.31,27.31,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,1
541,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,1
542,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.78,1
543,29.15,29.15,28.78,29.15,29.15,29.15,29.15,29.15,29.15,29.15,1
544,29.52,29.52,29.52,29.52,29.52,29.52,29.52,29.52,29.52,29.89,1
545,29.89,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.26,30.63,1
546,30.63,30.63,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1
548,32.1,32.1,32.47,32.1,32.47,32.47,32.47,32.47,32.47,32.47,1
549,32.84,32.84,32.84,32.84,32.84,33.21,33.21,33.21,33.21,33.21,1
550,33.58,33.58,33.58,33.58,33.95,33.95,33.95,33.95,33.95,34.32,1
551,34.32,34.69,34.69,34.69,34.69,34.69,34.69,34.69,35.06,35.06,1
552,35.42,35.42,35.42,35.42,35.42,35.42,35.79,35.79,35.79,35.79,1
553,36.16,36.16,36.16,36.16,36.53,36.53,36.53,36.53,36.53,36.53,1
554,36.9,36.9,36.9,36.9,36.9,37.27,37.27,37.27,37.27,37.27,1
555,37.64,37.64,37.64,37.64,38.01,38.01,38.01,38.01,38.38,38.38,1
556,38.38,38.38,38.75,38.75,38.75,38.75,38.75,39.11,39.11,39.11,1
557,39.48,39.48,39.48,39.48,39.48,39.48,39.48,39.85,39.85,39.85,1
558,40.22,40.22,40.22,40.22,40.22,40.22,40.59,40.59,40.59,40.59,1
559,40.96,40.96,40.96,40.96,41.33,41.33,41.33,41.33,41.33,41.33,1
560,41.7,41.7,41.7,41.7,42.07,42.07,42.07,42.07,42.07,42.07,1
561,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.8,1
562,42.8,42.8,42.8,42.8,43.17,43.17,43.17,43.17,43.17,43.17,1
563,43.54,43.54,43.54,43.54,43.54,43.54,43.91,43.54,43.91,43.91,1
564,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.65,44.65,1
565,44.65,44.65,44.65,45.02,45.02,44.65,45.02,45.02,45.02,45.02,1
566,45.39,45.39,45.39,45.39,45.39,45.39,45.39,45.39,45.39,45.76,1
567,45.76,45.76,45.76,45.76,45.76,46.13,46.13,46.13,46.13,46.13,1
568,19.56,18.45,16.61,15.5,12.92,12.55,12.18,11.81,11.44,11.07,-1
569,10.7,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,-1
570,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,-1
574,10.33,10.33,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,-1
575,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,-1
576,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,-1
582,10.7,10.7,10.7,10.33,10.33,10.33,10.7,10.33,10.33,10.33,-1
585,10.33,10.33,10.33,10.33,10.33,10.33,9.96,9.96,9.96,9.96,-1
588,9.59,9.59,9.59,9.59,9.59,9.59,9.59,9.59,9.59,9.59,-1
590,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23,-1
593,9.59,9.23,9.23,9.59,9.23,9.23,9.23,9.23,9.23,9.23,-1
594,9.23,9.59,9.59,9.59,9.23,9.59,9.59,9.59,9.59,9.23,-1
595,9.23,9.23,9.23,9.59,9.59,9.23,9.59,9.23,9.23,9.23,-1
600,9.23,9.23,9.23,9.23,9.23,8.86,8.86,9.23,9.23,9.23,-1
601,9.23,8.86,8.86,9.23,9.23,8.86,8.86,9.23,8.86,8.86,-1
602,8.86,9.23,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,-1
603,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,-1
605,9.23,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,-1
607,8.86,8.86,8.86,8.86,8.86,9.23,8.86,8.86,8.86,8.86,-1
609,8.86,9.23,8.86,8.86,9.23,9.23,9.23,9.23,9.23,9.23,-1
612,9.23,9.23,9.59,9.59,9.59,9.59,9.59,9.59,9.59,9.59,-1
615,9.59,9.59,9.59,9.59,9.23,9.23,9.23,9.23,9.59,9.23,-1
616,9.96,9.96,10.33,10.33,10.33,10.7,10.7,10.7,11.07,11.07,1
617,11.81,11.81,11.81,11.81,12.18,12.18,12.18,12.55,12.18,12.92,1
618,13.28,13.28,13.65,13.65,14.02,14.02,14.02,14.02,14.39,14.39,1
619,15.13,15.13,15.13,15.13,15.5,15.5,15.5,15.5,15.5,15.5,1
620,16.24,16.24,16.24,16.24,16.24,16.61,16.61,16.61,16.61,16.61,1
621,17.34,17.34,17.34,17.34,17.71,17.71,17.71,17.71,17.71,18.08,1
622,18.45,18.45,18.45,18.45,18.82,18.82,18.82,18.82,18.82,19.19,1
623,19.56,19.56,19.56,19.56,19.56,19.93,19.93,19.93,19.93,19.93,1
624,20.3,20.3,20.3,20.66,20.66,20.66,20.66,20.66,20.66,21.03,1
625,21.4,21.4,21.03,21.4,21.4,21.4,21.4,21.4,21.4,21.77,1
626,21.77,21.77,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,1
627,22.88,22.51,22.88,22.88,22.88,22.88,22.88,23.25,23.25,23.25,1
628,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.62,1
629,23.99,23.99,23.99,23.99,24.35,24.35,24.35,24.35,24.35,24.35,1
630,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.72,24.72,1
631,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09,1
632,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.83,25.83,1
633,25.83,25.83,25.83,25.83,26.2,26.2,26.2,26.2,26.2,26.2,1
634,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.94,26.57,1
635,26.94,26.94,26.94,26.94,26.94,26.94,26.94,27.31,27.31,27.31,1
636,27.31,27.31,27.31,27.68,27.68,27.68,27.68,27.68,27.68,28.04,1
637,28.04,28.04,28.04,28.04,28.41,28.41,28.41,28.41,28.78,28.41,1
638,28.78,28.78,28.78,28.78,29.15,29.15,29.15,29.15,29.52,29.52,1
639,29.89,29.89,29.89,29.89,29.89,29.89,29.89,30.26,30.26,30.26,1
640,30.63,30.63,30.63,30.63,31.0,31.0,31.0,31.0,31.0,31.0,1
641,31.37,31.37,31.37,31.37,31.73,31.73,31.73,31.73,32.1,32.1,1
642,32.1,32.1,32.47,32.47,32.47,32.47,32.47,32.47,32.84,32.84,1
643,33.21,33.21,33.21,33.21,33.58,33.21,33.58,33.58,33.58,33.58,1
644,33.95,33.95,33.95,33.95,34.32,34.32,34.32,34.32,34.32,34.32,1
646,35.42,35.42,35.42,35.42,35.42,35.79,35.42,35.79,35.79,35.79,1
647,36.16,36.16,36.16,36.16,36.16,36.16,36.53,36.16,36.53,36.53,1
648,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,1
649,37.27,37.27,37.27,37.27,37.64,37.64,37.64,37.64,37.64,37.64,1
650,38.01,38.01,38.01,38.01,38.01,38.01,38.01,38.01,38.38,38.38,1
651,38.38,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,1
652,39.11,39.11,39.11,39.11,39.48,39.48,39.48,39.48,39.48,39.48,1
653,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,40.22,1
655,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,40.96,41.33,1
656,41.33,41.33,41.33,41.33,41.7,41.7,41.7,41.7,41.7,41.7,1
657,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.44,1
658,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,1
659,42.8,42.8,42.8,42.8,42.8,43.17,42.8,42.8,43.17,43.17,1
660,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.17,43.54,43.54,1
661,43.54,43.54,43.54,43.54,43.54,43.91,43.91,43.91,43.91,43.91,1
662,43.91,43.91,43.91,43.91,43.91,44.28,44.28,44.28,44.28,44.28,1
663,14.76,14.02,13.28,12.92,11.81,11.81,11.81,11.44,11.44,11.07,-1
664,10.7,10.7,10.7,10.7,10.7,10.7,10.33,10.7,10.33,10.33,-1
669,10.33,10.33,10.33,10.33,10.7,10.33,10.7,10.7,10.33,10.7,-1
670,10.7,10.7,10.33,10.7,10.7,10.33,10.33,10.7,10.33,10.33,-1
673,10.7,10.33,10.33,10.7,10.7,10.7,10.33,10.33,10.7,10.33,-1
674,10.33,10.7,10.7,10.7,10.7,10.7,10.7,10.33,10.7,10.7,-1
675,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.33,10.33,10.7,-1
682,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.33,10.7,10.7,-1
686,10.7,10.7,10.7,10.33,10.7,10.7,10.7,10.7,10.7,10.7,-1
687,10.33,10.7,10.7,10.7,10.33,10.7,10.7,10.33,10.7,10.7,-1
689,10.7,10.7,10.7,10.7,10.7,10.7,10.33,10.33,10.33,10.33,-1
693,10.33,10.33,10.33,9.96,10.33,10.33,10.33,10.33,10.33,10.33,-1
698,10.33,10.33,10.7,10.33,10.33,10.33,10.33,10.33,10.33,10.33,-1
699,10.33,10.7,10.7,10.33,10.33,10.7,10.7,10.7,10.7,10.33,-1
700,10.7,10.7,10.7,10.33,10.7,10.7,10.7,10.33,10.33,10.33,-1
701,10.7,10.7,10.33,10.7,10.7,10.7,10.7,10.7,10.7,10.7,-1
702,10.7,10.7,10.7,10.7,10.7,10.7,10.33,10.33,10.7,10.7,-1
703,10.33,10.7,10.33,10.7,10.7,10.33,10.7,10.33,10.7,10.33,-1
706,10.33,10.7,10.33,10.7,10.7,10.33,10.33,10.33,10.33,10.33,-1
709,9.96,9.96,9.96,9.96,10.33,10.33,10.7,10.33,10.7,11.07,1
710,11.81,11.81,11.81,11.81,12.18,12.18,12.18,12.18,12.55,12.55,1
711,13.28,13.28,13.28,13.28,13.65,13.65,13.65,14.02,14.02,14.02,1
712,14.76,14.76,14.76,14.76,15.13,15.13,15.13,15.13,15.5,15.5,1
713,16.24,16.24,16.24,16.24,16.61,16.61,16.61,16.61,16.97,16.97,1
714,17.34,17.34,17.71,17.71,17.71,17.71,17.71,18.08,18.08,18.08,1
715,18.45,18.45,18.45,18.45,18.82,18.82,18.82,18.82,19.19,19.19,1
716,19.56,19.19,19.56,19.56,19.56,19.56,19.93,19.93,19.93,19.93,1
717,20.3,20.3,20.3,20.3,20.66,20.66,20.66,20.66,20.66,20.66,1
718,21.03,21.03,21.03,21.03,21.4,21.4,21.4,21.4,21.4,21.4,1
719,21.77,21.77,21.77,21.77,21.77,21.77,21.77,22.14,22.14,22.14,1
720,22.14,22.51,22.51,22.14,22.51,22.51,22.51,22.51,22.51,22.51,1
722,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.62,23.99,23.99,1
723,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.72,1
725,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.83,25.83,25.83,1
726,25.83,25.83,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.57,1
727,26.57,26.57,26.57,26.57,26.94,26.94,26.94,26.94,26.94,27.31,1
728,27.31,27.31,27.31,27.31,27.68,27.68,27.68,27.68,27.68,27.68,1
729,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.04,28.41,28.41,1
730,28.41,28.41,28.41,28.41,28.78,28.78,28.78,28.78,28.78,29.15,1
731,29.15,29.15,29.52,29.15,29.52,29.52,29.52,29.52,29.52,29.52,1
734,31.37,31.37,31.37,31.37,31.37,31.73,31.73,31.73,31.73,31.73,1
735,32.1,32.1,32.1,32.1,32.1,32.47,32.47,32.47,32.47,32.47,1
736,32.84,32.84,32.84,32.84,32.84,33.21,32.84,32.84,33.21,33.21,1
737,33.21,33.21,33.58,33.58,33.58,33.58,33.58,33.58,33.58,33.95,1
738,33.95,33.95,33.95,33.95,34.32,33.95,33.95,34.32,34.32,34.32,1
739,34.69,34.69,34.69,34.69,34.69,34.69,34.69,34.69,34.69,35.06,1
741,35.79,35.79,35.79,35.79,35.79,36.16,35.79,35.79,36.16,36.16,1
743,36.9,36.9,36.9,37.27,37.27,37.27,37.27,37.27,37.27,37.27,1
744,37.64,37.64,37.64,37.64,38.01,38.01,38.01,38.01,38.01,38.01,1
745,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,1
746,38.75,38.75,38.75,38.75,39.11,39.11,39.11,39.11,39.11,39.11,1
748,39.85,39.85,39.85,40.22,40.22,40.22,40.22,40.22,40.22,40.22,1
749,40.59,40.59,40.59,40.59,40.59,40.59,40.59,40.59,40.96,40.96,1
750,41.33,40.96,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.33,1
752,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.44,42.8,42.8,1
753,42.8,42.8,42.8,42.8,42.8,42.8,43.17,43.17,43.17,43.17,1
754,43.17,43.17,43.54,43.17,43.54,43.54,43.54,43.54,43.54,43.17,1
755,13.65,12.92,12.55,12.18,11.07,11.07,11.07,11.07,10.7,10.7,-1
756,10.33,10.33,10.33,10.33,10.33,10.33,10.33,9.96,10.33,10.33,-1
757,10.33,9.96,9.96,9.96,9.96,10.33,9.96,9.96,9.96,9.96,-1
758,9.96,10.33,9.96,10.33,10.33,9.96,10.33,10.33,10.33,10.33,-1
761,11.07,10.7,11.07,11.07,11.07,11.07,11.07,11.07,11.07,11.07,-1
763,11.44,11.44,11.44,11.44,11.44,11.07,11.44,11.44,11.44,11.44,-1
766,11.07,11.44,11.07,11.07,11.44,11.07,11.07,11.44,11.07,11.07,-1
767,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,-1
768,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,8.09,-1
777,7.66,7.66,7.66,8.09,7.66,7.66,7.66,7.66,7.66,7.66,-1
805,7.66,7.66,7.66,7.66,7.66,8.09,7.66,7.66,7.66,7.66,-1
849,7.66,8.09,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,-1
877,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,-1
881,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.23,-1
885,1.65,1.23,1.65,1.65,1.65,1.23,1.65,1.65,1.65,1.65,-1
889,1.65,1.23,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,-1
891,1.65,1.65,1.65,1.23,1.65,1.65,1.65,1.65,1.65,1.65,-1
892,1.23,1.23,1.23,1.65,1.65,1.65,1.65,1.65,1.65,1.65,-1
894,1.65,1.65,1.65,1.65,1.65,1.23,1.65,1.65,1.65,1.65,-1
896,1.65,1.65,1.65,1.65,1.23,1.65,1.65,1.65,1.65,1.65,-1
902,1.65,1.65,1.65,1.65,1.65,1.65,1.23,1.23,1.65,1.65,-1
903,1.65,1.65,1.65,1.65,1.65,1.23,1.65,1.65,1.23,1.65,-1
905,1.23,1.23,1.65,1.65,1.65,1.23,1.65,1.65,1.65,1.65,-1
908,1.65,1.65,1.65,1.65,1.65,1.65,1.23,1.65,1.65,1.65,-1
919,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.23,1.65,-1
924,1.65,1.65,1.65,1.65,1.23,1.23,1.65,1.65,1.23,1.65,-1
928,1.23,1.65,1.65,1.65,1.65,1.23,1.23,1.65,1.65,1.65,-1
933,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.23,1.65,1.65,-1
935,1.23,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,-1
946,1.23,1.65,1.65,1.65,1.65,1.65,1.65,1.23,1.65,1.65,-1
952,1.23,1.65,1.65,1.23,1.65,1.65,1.65,1.23,1.65,1.65,-1
